,日期,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
15,2020/11/16,2020/11/16,轻度污染,135,327,103,114,5,69,1.53,4
16,2020/11/17,2020-11-17,轻度污染,137,344,104,95,2,49,1.66,7
17,2020/11/18,2020/11/18,良,317,45,18,2,29,0.99,21,21
18,2020/11/19,2020/11/19,优,8,7,11,2,14,0.33,44,44
19,2020/11/20,2020/11/20,优,23,9,20,2,21,0.32,44,44
20,2020/11/21,2020-11-21,优,233,26,33,2,42,0.53,14,14
21,2020/11/22,2020/11/22,优,13,7,13,2,11,0.26,45,45
22,2020/11/23,2020/11/23,优,87,13,27,3,25,0.38,31,31
23,2020/11/24,2020/11/24,优,173,29,47,3,46,0.61,,13
23,2020/11/24,2020/11/24,优级,173,29,47,3,46,0.61,,13
24,2020/11/25,2020/11/25,优,144,25,40,4,35,0.55,,28
25,2020/11/26,2020/11/26,优,136,19,39,4,44,0.63,17,17
26,2020/11/27,2020/11/27,优,92,16,30,2,22,0.42,43,43
27,2020/11/28,2020/11/28,优,38,11,,2,22,0.34,38,38
28,2020/11/29,2020/11/29,优,53,15,,3,29,0.39,28,28
29,2020/11/30,2020/11/30,优,38,16,32,3,28,0.38,31,31
0,2020/12/1,2020/12/1,优,93,24,41,3,42,0.5,15,15
1,2020/12/2,2020/12/2,优,73,18,35,3,28,0.43,33,33
2,2020/12/3,2020/12/3,优,17,7,19,2,20,0.3,48,48
3,2020/12/4,2020/12/4,优,12,7,19,3,20,0.33,,47
4,2020/12/5,2020/12/5,优,51,21,36,6,42,,25,25
5,2020/12/6,2020/12/6,良,97,34,52,6,35,0.58,29,29
6,2020/12/7,2020/12/7,优,20,7,26,3,14,0.28,48,48
7,2020/12/8,2020/12/8,优,50,20,39,5,40,0.5,21,21
8,2020/12/9,2020/12/9,良,179,44,78,6,59,0.85,5,5
9,2020/12/10,2020/12/10,良,180,56,94,5,69,1.11,10,10
10,2020/12/11,2020/12/11,良,75,32,55,4,52,0.64,19,19
11,2020/12/12,2020/12/12,良,232,73,99,4,60,1.33,8,8
12,2020/12/13,2020/12/13,优,22,8,26,2,8,0.28,49,49
13,2020/12/14,2020/12/14,优,67,10,26,3,19,0.36,37,37
14,2020/12/15,2020/12/15,优,115,15,38,4,35,0.43,19,19
15,2020/12/16,2020/12/16,优,94,17,38,4,31,0.44,25,25
16,2020/12/17,2020/12/17,良,180,36,72,5,56,0.84,8,8
17,2020/12/18,2020/12/18,优,31,9,27,3,18,0.31,46,46
18,2020/12/19,2020/12/19,优,105,25,51,5,50,0.57,11,11
19,2020/12/20,2020/12/20,优,55,24,43,5,43,0.56,,27
20,2020/12/21,2020/12/21,良,74,34,54,5,55,0.71,16,16
21,2020/12/22,2020/12/22,良,,105,52,75,5,64,0.9,9
22,2020/12/23,2020/12/23,良,168,39,128,4,30,0.59,42,42
23,2020/12/24,2020/12/24,良,103,19,60,3,24,0.38,,44
24,2020/12/25,2020/12/25,良,140,31,79,5,,0.71,12,12
25,2020/12/26,2020/12/26,良,156,46,98,9,57,1.24,6,6
26,2020/12/27,2020/12/27,良,129,63,100,6,59,1.39,8,8
27,2020/12/28,2020/12/28,良,156,60,93,7,39,0.94,20,20
28,2020/12/29,2020/12/29,优,139,8,54,2,6,0.28,49,49
29,2020/12/30,2020/12/30,优,55,,30,2,7,0.29,51,51
30,2020/12/31,2020/12/31,优级,50,11,35,2,26,0.38,34,34
0,2021/1/1,2021/1/1,良,198,28,61,5,49,0.73,10,10
1,2021/1/2,2021/1/2,良,187,51,79,5,47,1.19,13,13
2,2021/1/3,2021/1/3,优,19,13,30,3,30,0.42,29,29
3,2021/1/4,2021/1/4,优,37,15,37,3,23,0.42,39,39
4,2021/1/5,2021/1/5,优,26,,,2,18,0.3,40,40
5,2021/1/6,2021/1/6,良,134,11,75,2,7,0.25,51,51
6,2021/1/7,2021/1/7,优,25,8,26,2,9,0.3,49,49
7,2021/1/8,2021/1/8,优,34,8,28,,12,0.24,52,52
8,2021/1/9,2021/1/9,优,47,9,35,2,13,0.26,50,50
9,2021/1/10,2021/1/10,优,12,8,23,2,13,0.26,55,55
10,2021/1/11,2021/1/11,优,84,18,57,3,19,0.38,38,38
11,2021/1/12,2021/1/12,良,253,43,143,4,47,0.73,16,16
12,2021/1/13,2021/1/13,轻度污染,142,314,57,234,2,30,0.54,39
13,2021/1/14,2021/1/14,良,153,53,115,5,34,0.95,24,24
14,2021/1/15,2021/1/15,良,193,42,146,2,17,0.49,49,49
15,2021/1/16,2021/1/16,优,19,9,30,2,11,0.27,55,55
16,2021/1/17,2021/1/17,优级,75,16,54,3,22,0.38,42,42
17,2021/1/18,2021/1/18,良,93,18,61,3,25,0.42,40,40
18,2021/1/19,2021/1/19,优,56,26,46,2,24,0.61,33,33
19,2021/1/20,2021/1/20,良,149,51,62,3,37,0.8,20,20
20,2021/1/21,2021/1/21,轻度污染,103,210,77,93,5,,1.17,16
21,2021/1/22,2021/1/22,轻度污染,112,227,84,109,8,54,1.45,22
22,2021/1/23,2021/1/23,轻度污染,115,242,86,93,3,50,1.34,20
23,2021/1/24,2021/1/24,轻度污染,137,247,-99,103,3,52,1.3,20
24,2021/1/25,2021/1/25,中度污染,175,314,132,106,2,59,1.5,10
25,2021/1/26,2021/1/26,轻度污染,110,258,82,78,2,40,1.08,30
26,2021/1/27,2021/1/27,良,98,27,60,5,,0.74,35,35
27,2021/1/28,2021/1/28,优,72,6,48,2,7,0.24,64,64
28,2021/1/29,2021/1/29,优,90,19,50,3,31,0.53,27,27
29,2021/1/30,2021/1/30,良,170,40,86,4,47,0.88,19,19
30,2021/1/31,2021/1/31,良,225,63,81,3,33,1.05,28,28
0,2021/2/1,2021/2/1,优,89,20,52,2,12,0.38,55,55
1,2021/2/2,2021/2/2,优,45,13,36,2,17,0.42,47,47
2,2021/2/3,2021/2/3,优,71,17,50,3,23,0.47,40,40
3,2021/2/4,2021/2/4,良,96,33,60,4,,0.62,37,37
4,2021/2/5,2021/2/5,良,159,41,73,4,44,0.83,32,32
5,2021/2/6,2021/2/6,良,259,33,112,3,26,0.53,52,52
6,2021/2/7,2021/2/7,优,81,24,57,3,12,0.44,58,58
7,2021/2/8,2021/2/8,优,112,29,41,3,28,0.62,41,41
8,2021/2/9,2021/2/9,良,284,62,71,5,39,0.92,42,42
9,2021/2/10,2021/2/10,良,291,74,81,6,39,1.04,53,53
10,2021/2/11,2021/2/11,重度污染,204,357,159,149,8,41,1.7,62
11,2021/2/12,2021/2/12,重度污染,249,356,201,205,8,31,1.62,76
12,2021/2/13,2021/2/13,严重污染,255,366,205,192,5,38,2.28,27
13,2021/2/14,2021/2/14,轻度污染,141,352,,88,2,22,1.5,28
14,2021/2/15,2021/2/15,优,83,8,24,2,7,0.27,68,68
15,2021/2/16,2021/2/16,优,58,5,31,2,4,0.21,72,72
16,2021/2/17,2021/2/17,优,7,8,15,2,7,0.27,64,64
17,2021/2/18,2021/2/18,优,83,24,33,4,24,0.48,45,45
18,2021/2/19,2021/2/19,良,256,44,65,,42,0.79,36,36
19,2021/2/20,2021/2/20,良,272,44,90,4,48,0.81,33,33
20,2021/2/21,2021/2/21,轻度污染,119,345,55,186,3,34,0.66,41
21,2021/2/22,2021/2/22,良,117,,69,3,13,0.38,66,66
22,2021/2/23,2021-02-23,优,135,27,,2,19,0.54,49,49
23,2021/2/24,2021/2/24,良,246,42,51,3,26,0.67,38,38
24,2021/2/25,2021/2/25,轻度污染,103,347,77,75,3,34,0.95,41
25,2021/2/26,2021/2/26,中度污染,170,353,129,107,4,39,1.3,54
26,2021/2/27,2021/2/27,中度污染,,342,122,,6,38,1.06,66
27,2021/2/28,2021/2/28,轻度污染,129,351,97,71,3,38,0.95,44
0,2021/3/1,2021/3/1,优,121,21,15,2,13,0.41,56,56
1,2021/3/2,2021/3/2,良,332,58,51,2,22,0.66,30,30
2,2021/3/3,2021/3/3,轻度污染,147,359,112,99,1,37,1.07,20
3,2021/3/4,2021/3/4,中度污染,198,365,149,128,2,49,1.34,18
4,2021/3/5,2021/3/5,中度污染,156,363,116,103,2,36,1.13,26
5,2021/3/6,2021/3/6,优,209,20,51,3,,0.58,43,43
6,2021/3/7,2021/3/7,良,312,56,72,2,39,0.71,28,28
7,2021/3/8,2021/3/8,轻度污染,115,327,87,82,3,48,0.8,29
8,2021/3/9,2021/3/9,中度污染,184,362,141,110,4,50,,43
9,2021/3/10,2021/3/10,重度污染,232,365,184,132,3,55,1.23,44
10,2021/3/11,2021/3/11,中度污染,163,349,123,81,2,39,0.93,51
11,2021/3/12,2021/3/12,轻度污染,135,351,103,69,2,36,0.9,36
12,2021/3/13,2021/3/13,轻度污染,134,341,102,60,2,29,1,49
13,2021/3/14,2021/3/14,中度污染,172,348,130,95,1,46,0.98,24
14,2021/3/15,2021/3/15,严重污染,363,345,208,1563,2,19,0.42,54
15,2021/3/16,2021/3/16,轻度污染,114,238,36,178,2,19,0.29,59
16,2021/3/17,2021/3/17,中度污染,185,294,62,312,3,49,0.63,22
17,2021/3/18,2021/3/18,良,311,55,130,2,27,0.63,46,46
18,2021/3/19,2021/3/19,良,301,72,91,2,34,0.77,31,31
19,2021/3/20,2021/3/20,良,228,30,,2,16,0.45,50,50
20,2021/3/21,2021/3/21,优,56,6,31,2,10,0.23,71,71
21,2021/3/22,2021/3/22,轻度污染,128,349,27,207,2,27,0.31,45
22,2021/3/23,2021/3/23,良,274,37,123,3,42,0.48,43,43
23,2021/3/24,2021/3/24,轻度污染,106,323,40,,2,,0.4,56
24,2021/3/25,2021/3/25,良,248,56,115,4,40,0.5,65,65
25,2021/3/26,2021/3/26,中度污染,178,362,134,159,3,73,1.01,31
26,2021/3/27,2021/3/27,中度污染,178,359,134,111,2,39,1,51
27,2021/3/28,2021/3/28,严重污染,289,335,132,790,2,17,0.4,68
28,2021/3/29,2021/3/29,良,219,20,,2,22,0.25,64,64
29,2021/3/30,2021/3/30,轻度污染,141,266,53,224,3,35,0.5,56
30,2021/3/31,2021/3/31,轻度污染,,312,53,181,2,39,0.55,53
0,2021/4/1,2021/4/1,轻度污染,113,351,73,176,8,44,0.93,78
1,2021/4/2,2021/4/2,良,281,36,68,2,26,0.45,73,73
2,2021/4/3,2021/4/3,优,173,13,27,,18,0.27,65,65
3,2021/4/4,2021/4/4,优,77,6,28,2,20,,68,68
4,2021/4/5,2021/4/5,良,279,,70,3,29,0.38,68,68
5,2021/4/6,2021/4/6,良,190,30,60,2,,,73,73
6,2021/4/7,2021/4/7,良,283,39,81,4,35,0.51,67,67
7,2021/4/8,2021/4/8,良,280,33,72,,34,0.42,69,69
8,2021/4/9,2021/4/9,良,265,,77,6,33,0.65,74,74
9,2021/4/10,2021/4/10,良,340,65,101,7,39,0.88,79,79
10,2021/4/11,2021/4/11,良,343,59,95,3,34,,79,79
11,2021/4/12,2021/4/12,良,307,47,73,3,31,0.59,51,51
12,2021/4/13,2021/4/13,优,76,5,24,2,13,0.22,74,74
13,2021/4/14,2021/4/14,良,319,23,83,2,27,0.3,57,57
14,2021/4/15,2021/4/15,中度污染,171,328,69,306,4,23,0.4,67
15,2021/4/16,2021/4/16,轻度污染,111,270,36,172,2,8,0.21,70
16,2021/4/17,2021/4/17,优,54,9,33,2,13,0.22,68,68
17,2021/4/18,2021/4/18,良,206,25,78,3,32,0.35,60,60
18,2021/4/19,2021/4/19,良,351,54,131,3,39,,87,87
19,2021/4/20,2021/4/20,良,344,52,125,3,38,,101,101
20,2021/4/21,2021/4/21,良,64,309,39,76,2,34,,83
21,2021/4/22,2021/4/22,优,166,32,42,2,26,0.62,69,69
22,2021/4/23,2021/4/23,优级,153,24,37,2,21,0.5,69,69
23,2021/4/24,2021/4/24,优,158,20,41,2,20,0.45,79,79
24,2021/4/25,2021/4/25,良,296,38,58,2,26,0.55,77,77
25,2021/4/26,2021/4/26,良,264,36,62,3,28,0.49,76,76
26,2021/4/27,2021/4/27,良,273,28,108,,19,0.35,70,70
27,2021/4/28,2021/4/28,良,193,13,64,2,16,0.22,74,74
28,2021/4/29,2021/4/29,良,181,16,66,2,20,0.26,67,67
29,2021/4/30,2021/4/30,优,35,12,30,2,23,0.3,59,59
0,2021/5/1,2021/5/1,优,13,9,29,,16,0.25,56,56
1,2021/5/2,2021/5/2,优,95,12,,2,17,0.25,67,67
2,2021/5/3,2021/5/3,良,299,35,78,4,24,0.49,88,88
3,2021/5/4,2021/5/4,良,222,13,63,2,11,0.24,80,80
4,2021/5/5,2021/5/5,良,276,26,99,2,18,0.3,82,82
5,2021/5/6,2021-05-06,中度污染,200,342,82,339,3,17,0.84,81
6,2021/5/7,2021/5/7,轻度污染,142,254,72,215,2,8,0.25,81
7,2021/5/8,2021/5/8,良,253,44,130,2,16,0.25,72,72
8,2021/5/9,2021/5/9,良,199,20,54,3,30,0.37,72,72
9,2021/5/10,2021/5/10,良,225,21,56,3,27,0.48,89,89
10,2021/5/11,2021/5/11,优,249,23,48,2,23,0.57,97,97
11,2021/5/12,2021/5/12,优,213,13,47,2,28,0.4,83,83
12,2021/5/13,2021/5/13,良,288,41,69,4,30,0.91,79,79
13,2021/5/14,2021/5/14,良,318,40,76,2,28,1.07,71,71
14,2021/5/15,2021/5/15,优,262,12,32,2,14,0.4,,63
15,2021/5/16,2021/5/16,优,142,3,20,2,17,0.24,66,66
16,2021/5/17,2021/5/17,优,270,11,43,2,30,0.32,68,68
17,2021/5/18,2021/5/18,良,305,20,63,2,34,0.4,81,81
18,2021/5/19,2021/5/19,良,340,30,75,,25,,121,121
19,2021/5/20,2021/5/20,良,312,35,72,2,20,0.53,108,108
20,2021/5/21,2021/5/21,良,325,37,71,2,21,0.61,119,119
21,2021/5/22,2021/5/22,良,309,32,83,2,22,0.6,130,130
22,2021/5/23,2021/5/23,轻度污染,135,347,51,191,2,10,0.23,69
23,2021/5/24,2021/5/24,良,209,14,59,2,14,0.22,59,59
24,2021/5/25,2021/5/25,良,262,18,83,,16,0.32,88,88
25,2021/5/26,2021/5/26,良,260,16,59,2,22,0.38,76,76
26,2021/5/27,2021/5/27,优,194,11,40,2,23,0.31,54,54
27,2021/5/28,2021/5/28,优,81,3,18,2,10,0.2,81,81
28,2021/5/29,2021/5/29,优,160,8,32,,14,0.25,91,91
29,2021/5/30,2021/5/30,优级,206,16,,2,18,0.38,105,105
30,2021/5/31,2021/5/31,优,148,25,41,2,23,0.79,63,63
0,2021/6/1,2021/6/1,优,153,14,34,2,19,0.5,75,75
1,2021/6/2,2021/6/2,优,222,21,47,2,25,0.64,66,66
2,2021/6/3,2021/6/3,优,70,2,21,2,15,0.23,61,61
3,2021/6/4,2021/6/4,优,139,6,29,2,18,0.25,60,60
4,2021/6/5,2021/6/5,优,61,7,23,2,19,0.26,63,63
5,2021/6/6,2021/6/6,优,115,11,42,2,22,0.38,92,92
6,2021/6/7,2021/6/7,优,148,20,46,3,18,0.64,110,110
7,2021/6/8,2021/6/8,良,287,27,54,2,16,0.75,137,137
8,2021/6/9,2021/6/9,良,248,28,56,2,20,1.59,84,84
9,2021/6/10,2021/6/10,优,145,9,,2,15,0.35,97,97
10,2021/6/11,2021/6/11,良,248,14,,2,29,0.38,99,99
11,2021/6/12,2021/6/12,良,350,29,77,3,,0.54,149,149
12,2021/6/13,2021/6/13,良,352,,94,3,21,1.05,150,150
13,2021/6/14,2021/6/14,优,214,21,31,3,13,0.93,85,85
14,2021/6/15,2021/6/15,良,331,,35,2,12,0.7,118,118
15,2021/6/16,2021/6/16,优,217,18,33,2,18,0.63,60,60
16,2021/6/17,2021/6/17,优,28,163,7,16,2,15,0.37,64
17,2021/6/18,2021/6/18,优,152,5,25,2,18,0.23,62,62
18,2021/6/19,2021/6/19,优,192,,33,2,23,0.23,58,58
19,2021/6/20,2021/6/20,优,188,9,33,2,23,0.26,66,66
20,2021/6/21,2021/6/21,良,289,17,65,3,24,0.45,114,114
21,2021/6/22,2021/6/22,良 ,231,14,43,2,16,0.49,117,117
22,2021/6/23,2021/6/23,优级,111,18,34,2,20,,78,78
23,2021/6/24,2021/6/24,优,174,23,44,,24,0.53,90,90
24,2021/6/25,2021/6/25,优,251,31,49,2,17,0.84,99,99
25,2021/6/26,2021/6/26,优,230,20,37,2,13,0.66,104,104
26,2021/6/27,2021/6/27,良,319,25,46,2,15,0.73,113,113
27,2021/6/28,2021/6/28,良,314,32,54,2,15,0.8,126,126
28,2021/6/29,2021/6/29,优,246,26,41,2,12,0.65,95,95
29,2021/6/30,2021/6/30,优,181,13,27,2,9,0.53,108,108
0,2021/7/1,2021/7/1,优,202,12,27,2,12,0.43,96,96
1,2021/7/2,2021/7/2,优,37,256,10,23,2,10,0.4,109
2,2021/7/3,2021/7/3,优,255,7,15,2,9,0.47,113,113
3,2021/7/4,2021/7/4,优,169,9,21,,14,0.41,82,82
4,2021/7/5,2021/7/5,优,192,10,29,2,19,0.47,82,82
5,2021/7/6,2021/7/6,优,221,11,20,3,10,0.49,116,116
6,2021/7/7,2021/7/7,优,293,21,40,2,15,0.64,108,108
7,2021/7/8,2021/7/8,优,253,12,31,2,17,0.48,92,92
8,2021/7/9,2021/7/9,良,308,16,37,2,15,0.55,125,125
9,2021/7/10,2021/7/10,良,335,,67,2,19,0.87,116,116
10,2021/7/11,2021/7/11,优,304,26,48,2,14,0.85,120,120
11,2021/7/12,2021/7/12,优,14,4,5,2,8,0.44,51,51
12,2021/7/13,2021/7/13,优,38,,16,2,12,0.59,59,59
13,2021/7/14,2021/7/14,优,219,19,33,2,13,0.75,93,93
14,2021/7/15,2021/7/15,优,307,26,42,,13,0.87,106,106
15,2021/7/16,2021/7/16,优,225,17,32,2,10,0.73,95,95
16,2021/7/17,2021/7/17,优级,108,12,22,3,9,0.58,52,52
17,2021/7/18,2021/7/18,优,129,15,25,2,11,0.61,47,47
18,2021/7/19,2021/7/19,优,157,16,28,2,13,0.56,68,68
19,2021/7/20,2021/7/20,优,279,,34,2,13,0.59,68,68
20,2021/7/21,2021/7/21,优,253,16,32,2,15,0.6,51,51
21,2021/7/22,2021/7/22,优,91,13,24,,17,0.65,34,34
22,2021/7/23,2021/7/23,优,198,14,30,2,16,0.48,64,64
23,2021/7/24,2021/7/24,优,325,,52,2,17,0.54,87,87
24,2021/7/25,2021/7/25,良,342,30,59,2,17,0.6,90,90
25,2021/7/26,2021/7/26,良,344,29,59,2,16,0.67,86,86
26,2021/7/27,2021/7/27,优,116,11,16,2,11,0.55,73,73
27,2021/7/28,2021/7/28,优,53,11,19,2,15,0.62,35,35
28,2021/7/29,2021/7/29,优,49,9,16,2,13,0.53,35,35
29,2021/7/30,2021/7/30,优,19,6,13,2,,0.43,53,53
30,2021/7/31,2021/7/31,优级,224,14,36,2,14,0.58,86,86
0,2021/8/1,2021/8/1,优,45,5,17,2,9,0.37,66,66
1,2021/8/2,2021/8/2,优,62,4,18,2,11,0.38,66,66
2,2021/8/3,2021/8/3,优,184,15,39,2,12,0.7,89,89
3,2021/8/4,2021/8/4,优,293,-99,47,2,14,0.75,109,109
4,2021/8/5,2021/8/5,优,267,25,41,2,12,0.68,109,109
5,2021/8/6,2021/8/6,优,242,23,40,2,16,0.58,85,85
6,2021/8/7,2021/8/7,良,337,40,69,2,17,0.73,108,108
7,2021/8/8,2021/8/8,良,334,40,76,2,19,0.77,107,107
8,2021/8/9,2021/8/9,优,162,16,23,2,9,0.58,121,121
9,2021/8/10,2021/8/10,优,170,13,28,,15,0.56,90,90
10,2021/8/11,2021/8/11,良,304,29,53,2,18,0.82,,89
11,2021/8/12,2021/8/12,优,296,26,,2,13,0.89,95,95
12,2021/8/13,2021/8/13,优,289,21,41,2,15,0.72,90,90
13,2021/8/14,2021/8/14,优级,250,22,36,2,12,0.68,86,86
14,2021/8/15,2021/8/15,优,220,19,,2,14,0.64,68,68
15,2021/8/16,2021/8/16,优,244,22,33,2,14,0.76,75,75
16,2021/8/17,2021/8/17,优,143,9,16,2,10,0.53,77,77
17,2021/8/18,2021/8/18,优,179,14,32,2,18,0.53,69,69
18,2021/8/19,2021-08-19,优,105,14,22,2,13,0.59,67,67
19,2021/8/20,2021/8/20,优,87,8,15,2,11,0.62,77,77
20,2021/8/21,2021/8/21,优,151,10,25,2,15,0.55,67,67
21,2021/8/22,2021/8/22,良,330,33,67,2,17,1.32,85,85
22,2021/8/23,2021/8/23,优,321,25,49,2,11,0.69,96,96
23,2021/8/24,2021/8/24,优,73,8,17,2,11,0.38,73,73
24,2021/8/25,2021/8/25,优,43,5,16,2,14,0.37,57,57
25,2021/8/26,2021/8/26,优,34,4,15,2,,0.37,52,52
26,2021/8/27,2021/8/27,优,106,7,20,3,15,0.41,55,55
27,2021/8/28,2021/8/28,优级,124,9,24,2,19,0.43,42,42
28,2021/8/29,2021/8/29,优,228,16,38,2,17,0.45,73,73
29,2021/8/30,2021-08-30,优,331,25,50,2,,0.58,82,82
30,2021/8/31,2021/8/31,优,268,23,37,,18,0.62,85,85
0,2021/9/1,2021/9/1,优,242,15,35,2,23,0.5,84,84
1,2021/9/2,2021/9/2,优,267,20,43,2,21,0.55,91,91
2,2021/9/3,2021/9/3,良,316,27,52,2,20,0.65,98,98
3,2021/9/4,2021/9/4,优,215,21,33,2,,0.79,75,75
4,2021/9/5,2021/9/5,优,98,13,23,2,14,0.53,,59
5,2021/9/6,2021/9/6,优,24,4,8,3,11,0.4,51,51
6,2021/9/7,2021/9/7,优,142,10,26,2,17,0.45,62,62
7,2021/9/8,2021/9/8,优,193,19,36,2,18,0.58,92,92
8,2021/9/9,2021/9/9,优,239,,48,2,,0.73,71,71
9,2021/9/10,2021/9/10,良,257,31,53,2,20,0.79,90,90
10,2021/9/11,2021/9/11,良,322,42,72,2,22,0.93,97,97
11,2021/9/12,2021/9/12,优,252,28,53,2,,0.91,54,54
12,2021/9/13,2021/9/13,优,168,17,32,2,18,0.77,55,55
13,2021/9/14,2021/9/14,优级,188,19,36,2,19,0.78,44,44
14,2021/9/15,2021/9/15,优,246,18,44,2,26,0.7,43,43
15,2021/9/16,2021/9/16,优,168,15,31,2,24,0.68,29,29
16,2021/9/17,2021/9/17,优,97,8,22,2,19,0.42,44,44
17,2021/9/18,2021/9/18,优,217,18,44,2,28,0.53,43,43
18,2021/9/19,2021/9/19,优,160,-99,30,,19,0.6,,44
19,2021/9/20,2021/9/20,优,35,4,5,2,11,0.52,61,61
20,2021/9/21,2021/9/21,优,40,4,13,2,15,0.43,51,51
21,2021/9/22,2021/9/22,优,29,114,8,26,2,20,0.43,59
22,2021/9/23,2021/9/23,优,235,20,47,3,28,0.66,68,68
23,2021/9/24,2021/9/24,优,70,14,20,2,,0.86,51,51
24,2021/9/25,2021/9/25,优,109,13,23,2,16,0.6,52,52
25,2021/9/26,2021/9/26,优,69,12,20,2,20,0.58,,32
26,2021/9/27,2021/9/27,优级,103,,23,2,19,0.49,48,48
27,2021/9/28,2021-09-28,优,235,22,49,2,27,,44,44
28,2021/9/29,2021/9/29,优,226,17,43,2,26,0.54,47,47
29,2021/9/30,2021/9/30,良,274,30,58,3,24,0.85,52,52
0,2021/10/1,2021/10/1,优,48,10,27,2,20,0.39,43,43
1,2021/10/2,2021/10/2,良,226,27,61,2,31,0.73,25,25
2,2021/10/3,2021/10/3,优,230,28,56,2,,,39,39
3,2021/10/4,2021/10/4,优,15,3,18,2,13,0.25,39,39
4,2021/10/5,2021/10/5,优,14,5,12,2,17,0.33,23,23
5,2021/10/6,2021/10/6,优,10,5,6,3,15,0.34,30,30
6,2021/10/7,2021/10/7,优,29,7,14,2,15,0.28,33,33
7,2021/10/8,2021/10/8,优,116,13,,,20,0.39,38,38
8,2021/10/9,2021/10/9,优,171,22,,2,26,0.58,39,39
9,2021/10/10,2021/10/10,优,91,3,20,2,13,0.25,50,50
10,2021/10/11,2021/10/11,优,155,7,25,2,25,,30,30
5,2021/2/6,2021/2/6,良,259,,112,3,,0.53,52,52
11,2021/10/12,2021/10/12,优,182,11,32,2,28,0.39,33,33
12,2021/10/13,2021/10/13,优级,258,28,47,2,41,0.5,33,33
13,2021/10/14,2021-10-14,优,210,17,,3,32,0.5,29,29
14,2021/10/15,2021/10/15,优,136,7,27,2,16,0.3,40,40
15,2021/10/16,2021/10/16,优,119,3,,2,10,0.25,48,48
16,2021/10/17,2021/10/17,优,250,15,41,2,32,0.38,21,21
17,2021/10/18,2021/10/18,良,296,34,66,2,40,0.52,20,20
18,2021/10/19,2021/10/19,优,43,-99,20,,18,0.26,43,43
19,2021/10/20,2021/10/20,优,252,22,46,2,36,0.43,22,22
20,2021/10/21,2021/10/21,优,174,15,34,2,25,0.36,34,34
21,2021/10/22,2021-10-22,优,110,8,28,,25,0.28,42,42
22,2021/10/23,2021/10/23,良,227,29,57,3,,0.45,30,30
23,2021/10/24,2021/10/24,良,325,68,82,3,50,0.68,34,34
24,2021/10/25,2021/10/25,中度污染,153,359,116,107,3,56,0.92,36
25,2021/10/26,2021/10/26,良,287,57,60,2,33,0.59,38,38
26,2021/10/27,2021/10/27,优,44,7,30,2,30,0.32,32,32
27,2021/10/28,2021/10/28,优,122,18,50,,38,0.49,22,22
28,2021/10/29,2021/10/29,良,304,66,92,4,60,0.82,20,20
29,2021/10/30,2021/10/30,轻度污染,126,334,95,97,3,54,0.89,31
30,2021/10/31,2021/10/31,良,175,20,54,2,19,0.38,45,45
0,2021/11/1,2021/11/1,良,292,57,72,2,42,0.83,15,15
1,2021/11/2,2021/11/2,良,319,67,75,2,50,0.76,9,9
2,2021/11/3,2021/11/3,轻度污染,123,337,93,84,2,49,0.81,13
3,2021/11/4,2021/11/4,中度污染,163,352,124,102,2,49,0.95,15
4,2021/11/5,2021/11/5,中度污染,187,355,142,111,2,48,1.13,17
5,2021/11/6,2021-11-06,轻度污染,117,327,86,71,2,31,1.06,23
6,2021/11/7,2021/11/7,优,14,3,4,2,6,0.3,55,55
7,2021/11/8,2021/11/8,优,16,3,13,999,7,0.23,58,58
8,2021/11/9,2021/11/9,优级,20,3,12,2,9,0.38,59,59
9,2021/11/10,2021/11/10,优,11,4,15,2,12,0.21,58,58
10,2021/11/11,2021/11/11,优,13,4,15,2,13,0.23,53,53
11,2021/11/12,2021/11/12,优,73,13,39,2,31,0.4,33,33
12,2021/11/13,2021/11/13,良,169,20,61,3,33,0.49,,32
13,2021/11/14,2021/11/14,良,59,154,21,70,2,37,0.45,27
14,2021/11/15,2021/11/15,良,227,33,99,3,33,0.56,26,26
15,2021/11/16,2021/11/16,良,210,51,86,2,43,0.84,12,12
16,2021/11/17,2021/11/17,轻度污染,108,289,81,94,2,52,0.97,11
17,2021/11/18,2021/11/18,轻度污染,130,307,97,97,2,60,1.14,9
18,2021/11/19,2021/11/19,优,76,15,36,2,,0.46,37,37
19,2021/11/20,2021/11/20,良,186,29,66,2,43,,7,7
20,2021/11/21,2021/11/21,良,333,29,132,2,22,0.51,30,30
20,2021/11/21,2021/11/21,良,333,29,132,2,22,0.51,30,30
21,2021/11/22,2021/11/22,优,97,6,29,2,11,0.23,46,46
22,2021/11/23,2021/11/23,优,127,16,,2,41,,18,18
23,2021/11/24,2021/11/24,良,214,30,78,3,48,0.7,14,14
24,2021/11/25,2021/11/25,良,214,36,86,3,50,0.77,16,16
25,2021/11/26,2021/11/26,优,99,21,57,2,38,0.49,25,25
26,2021/11/27,2021/11/27,良,259,56,87,3,56,0.94,9,9
27,2021/11/28,2021/11/28,轻度污染,133,343,100,107,3,62,1.18,8
28,2021/11/29,2021/11/29,良,85,287,63,56,2,33,0.74,19
29,2021/11/30,2021/11/30,优,8,4,,2,10,0.24,49,49
0,2021/12/1,2021/12/1,优,40,9,27,2,29,0.38,30,30
1,2021/12/2,2021/12/2,优,54,11,38,2,23,0.37,40,40
