Unnamed: 0,日期,日期.1,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,年,月,日,周,星期几,季节,是否周末,是否法定节假日,经济活动期,工作日类型
0,2017-01-01,2017/1/1,严重污染,454.0,365.0,430.0,501.0,8.0,131.0,6.43,4.0,2017,1,1,52,6,冬,是,是,冬季低谷,休息日
1,2017-01-02,2017/1/2,重度污染,220.0,296.0,,246.0,12.0,92.0,3.14,24.0,2017,1,2,1,0,冬,否,是,冬季低谷,工作日
2,2017-01-03,2017/1/3,严重污染,338.0,354.0,290.0,380.0,17.0,137.0,5.61,,2017,1,3,1,1,冬,否,是,冬季低谷,工作日
3,2017-01-04,2017/1/4,严重污染,393.0,360.0,344.0,452.0,18.0,145.0,7.28,8.0,2017,1,4,1,2,冬,否,否,冬季低谷,工作日
4,2017-01-05,2017/1/5,严重污染,276.0,345.0,224.0,275.0,,109.0,5.55,5.0,2017,1,5,1,3,冬,否,否,冬季低谷,工作日
5,2017-01-06,2017/1/6,重度污染,245.0,350.0,194.0,190.0,23.0,104.0,4.28,7.0,2017,1,6,1,4,冬,否,否,冬季低谷,工作日
6,2017-01-07,2017/1/7,重度污染,211.0,327.0,,128.0,17.0,80.0,3.22,6.0,2017,1,7,1,5,冬,是,否,冬季低谷,休息日
7,2017-01-08,2017/1/8,良,104.0,36.0,22.0,9.0,33.0,0.97,42.0,42.0,2017,1,8,1,6,冬,是,否,冬季低谷,休息日
8,2017-01-09,2017/1/9,优,67.0,32.0,44.0,6.0,36.0,0.76,38.0,38.0,2017,1,9,2,0,冬,否,否,冬季低谷,工作日
9,2017-01-10,2017/1/10,优,71.0,23.0,40.0,6.0,32.0,0.64,45.0,45.0,2017,1,10,2,1,冬,否,否,冬季低谷,工作日
10,2017-01-11,2017/1/11,良,198.0,-99.0,81.0,18.0,70.0,1.54,14.0,14.0,2017,1,11,2,2,冬,否,否,冬季低谷,工作日
11,2017-01-12,2017/1/12,良,148.0,39.0,57.0,11.0,46.0,0.88,38.0,38.0,2017,1,12,2,3,冬,否,否,冬季低谷,工作日
12,2017-01-13,2017/1/13,优,35.0,7.0,20.0,4.0,19.0,0.38,60.0,60.0,2017,1,13,2,4,冬,否,否,冬季低谷,工作日
13,2017-01-14,2017/1/14,优,39.0,18.0,37.0,10.0,41.0,0.8,32.0,32.0,2017,1,14,2,5,冬,是,否,冬季低谷,休息日
14,2017-01-15,2017/1/15,良,197.0,51.0,69.0,10.0,48.0,0.99,18.0,18.0,2017,1,15,2,6,冬,是,否,冬季低谷,休息日
15,2017-01-16,2017/1/16,轻度污染,123.0,284.0,92.0,107.0,17.0,65.0,1.71,4.0,2017,1,16,3,0,冬,否,否,冬季低谷,工作日
16,2017-01-17,2017/1/17,中度污染,176.0,311.0,132.0,144.0,20.0,71.0,2.11,10.0,2017,1,17,3,1,冬,否,否,冬季低谷,工作日
17,2017-01-18,2017/1/18,良,74.0,37.0,50.0,9.0,48.0,0.83,,26.0,2017,1,18,3,2,冬,否,否,冬季低谷,工作日
18,2017-01-19,2017/1/19,良,161.0,45.0,88.0,13.0,36.0,1.17,39.0,39.0,2017,1,19,3,3,冬,否,否,冬季低谷,工作日
19,2017-01-20,2017/1/20,优,45.0,21.0,34.0,7.0,31.0,,48.0,48.0,2017,1,20,3,4,冬,否,否,冬季低谷,工作日
20,2017-01-21,2017/1/21,良,58.0,,49.0,9.0,28.0,0.78,48.0,48.0,2017,1,21,3,5,冬,是,否,冬季低谷,休息日
21,2017-01-22,2017/1/22,优,8.0,23.0,34.0,10.0,38.0,0.79,37.0,37.0,2017,1,22,3,6,冬,是,否,冬季低谷,休息日
22,2017-01-23,2017/1/23,优,35.0,32.0,44.0,12.0,45.0,0.98,29.0,29.0,2017,1,23,4,0,冬,否,否,冬季低谷,工作日
23,2017-01-24,2017/1/24,轻度污染,114.0,239.0,85.0,100.0,27.0,73.0,2.04,15.0,2017,1,24,4,1,冬,否,否,冬季低谷,工作日
24,2017-01-25,2017/1/25,重度污染,221.0,314.0,171.0,186.0,38.0,91.0,3.22,14.0,2017,1,25,4,2,冬,否,否,冬季低谷,工作日
25,2017-01-26,2017/1/26,重度污染,203.0,289.0,159.0,196.0,25.0,62.0,2.66,33.0,2017,1,26,4,3,冬,否,否,冬季低谷,工作日
26,2017-01-27,2017/1/27,良,149.0,60.0,88.0,20.0,28.0,0.72,59.0,59.0,2017,1,27,4,4,冬,否,是,冬季低谷,工作日
27,2017-01-28,2017/1/28,严重污染,364.0,359.0,337.0,419.0,81.0,69.0,2.62,16.0,2017,1,28,4,5,冬,是,是,冬季低谷,休息日
28,2017-01-29,2017/1/29,良,166.0,39.0,75.0,10.0,16.0,0.72,61.0,61.0,2017,1,29,4,6,冬,是,否,冬季低谷,休息日
29,2017-01-30,2017/1/30,优,101.0,24.0,31.0,9.0,19.0,0.56,,62.0,2017,1,30,5,0,冬,否,是,冬季低谷,工作日
30,2017-01-31,2017/1/31,轻度污染,102.0,310.0,75.0,86.0,27.0,40.0,1.26,45.0,2017,1,31,5,1,冬,否,是,冬季低谷,工作日
0,2017-02-01,2017/2/1,良,125.0,30.0,49.0,12.0,24.0,0.6,56.0,56.0,2017,2,1,5,2,冬,否,是,冬季低谷,工作日
1,2017-02-02,2017/2/2,轻度污染,107.0,264.0,80.0,101.0,29.0,58.0,1.53,31.0,2017,2,2,5,3,冬,否,是,冬季低谷,工作日
2,2017-02-03,2017/2/3,中度污染,196.0,327.0,,181.0,43.0,83.0,2.57,25.0,2017,2,3,5,4,冬,否,否,冬季低谷,工作日
3,2017-02-04,2017/2/4,严重污染,294.0,358.0,247.0,280.0,49.0,92.0,3.23,33.0,2017,2,4,5,5,冬,是,否,冬季低谷,休息日
4,2017-02-05,2017/2/5,优,6.0,12.0,16.0,,23.0,0.46,64.0,64.0,2017,2,5,5,6,冬,是,否,冬季低谷,休息日
5,2017-02-06,2017/2/6,优,14.0,12.0,23.0,6.0,26.0,0.47,55.0,55.0,2017,2,6,6,0,冬,否,否,冬季低谷,工作日
6,2017-02-07,2017/2/7,轻度污染,101.0,322.0,75.0,93.0,20.0,59.0,1.51,17.0,2017,2,7,6,1,冬,否,否,冬季低谷,工作日
7,2017-02-08,2017/2/8,良,221.0,32.0,50.0,6.0,26.0,0.73,56.0,56.0,2017,2,8,6,2,冬,否,否,冬季低谷,工作日
8,2017-02-09,2017/2/9,优,24.0,6.0,20.0,2.0,10.0,0.3,73.0,73.0,2017,2,9,6,3,冬,否,否,冬季低谷,工作日
9,2017-02-10,2017/2/10,优,23.0,6.0,,2.0,13.0,0.31,74.0,74.0,2017,2,10,6,4,冬,否,否,冬季低谷,工作日
10,2017-02-11,2017/2/11,良,86.0,42.0,66.0,17.0,43.0,0.87,45.0,45.0,2017,2,11,6,5,冬,是,否,冬季低谷,休息日
11,2017-02-12,2017/2/12,轻度污染,,306.0,104.0,132.0,41.0,76.0,2.28,23.0,2017,2,12,6,6,冬,是,否,冬季低谷,休息日
12,2017-02-13,2017/2/13,轻度污染,109.0,229.0,79.0,104.0,23.0,66.0,2.06,32.0,2017,2,13,7,0,冬,否,否,冬季低谷,工作日
13,2017-02-14,2017/2/14,重度污染,225.0,338.0,176.0,190.0,30.0,95.0,2.89,12.0,2017,2,14,7,1,冬,否,否,冬季低谷,工作日
14,2017-02-15,2017/2/15,严重污染,283.0,358.0,232.0,209.0,35.0,105.0,3.16,22.0,2017,2,15,7,2,冬,否,否,冬季低谷,工作日
15,2017-02-16,2017/2/16,轻度污染,145.0,289.0,107.0,71.0,18.0,54.0,1.44,47.0,2017,2,16,7,3,冬,否,否,冬季低谷,工作日
16,2017-02-17,2017/2/17,优级,39.0,20.0,37.0,6.0,27.0,0.52,59.0,59.0,2017,2,17,7,4,冬,否,否,冬季低谷,工作日
17,2017-02-18,2017/2/18,轻度污染,111.0,255.0,83.0,119.0,25.0,71.0,1.58,25.0,2017,2,18,7,5,冬,是,否,冬季低谷,休息日
18,2017-02-19,2017/2/19,轻度污染,150.0,277.0,97.0,143.0,24.0,61.0,1.41,43.0,2017,2,19,7,6,冬,是,否,冬季低谷,休息日
19,2017-02-20,2017/2/20,优,15.0,10.0,31.0,4.0,23.0,0.42,62.0,62.0,2017,2,20,8,0,冬,否,否,冬季低谷,工作日
20,2017-02-21,2017/2/21,良,308.0,60.0,,14.0,58.0,1.32,17.0,17.0,2017,2,21,8,1,冬,否,否,冬季低谷,工作日
21,2017-02-22,2017/2/22,轻度污染,106.0,313.0,76.0,50.0,6.0,40.0,1.08,41.0,2017,2,22,8,2,冬,否,否,冬季低谷,工作日
22,2017-02-23,2017/2/23,优,43.0,16.0,28.0,6.0,29.0,,60.0,60.0,2017,2,23,8,3,冬,否,否,冬季低谷,工作日
23,2017-02-24,2017/2/24,优,80.0,25.0,39.0,9.0,43.0,0.76,45.0,45.0,2017,2,24,8,4,冬,否,否,冬季低谷,工作日
24,2017-02-25,2017/2/25,优,27.0,10.0,21.0,5.0,29.0,0.47,58.0,58.0,2017,2,25,8,5,冬,是,否,冬季低谷,休息日
25,2017-02-26,2017/2/26,优,50.0,27.0,45.0,9.0,49.0,0.76,41.0,41.0,2017,2,26,8,6,冬,是,否,冬季低谷,休息日
26,2017-02-27,2017/2/27,良,219.0,64.0,93.0,16.0,75.0,1.42,27.0,27.0,2017,2,27,9,0,冬,否,否,冬季低谷,工作日
27,2017-02-28,2017/2/28,优,1.0,14.0,29.0,6.0,,0.52,58.0,58.0,2017,2,28,9,1,冬,否,否,冬季低谷,工作日
0,2017-03-01,2017/3/1,优,28.0,7.0,37.0,,13.0,0.32,79.0,79.0,2017,3,1,9,2,春,否,否,春季活跃,工作日
1,2017-03-02,2017/3/2,良,105.0,36.0,73.0,11.0,,0.81,40.0,40.0,2017,3,2,9,3,春,否,否,春季活跃,工作日
2,2017-03-03,2017/3/3,轻度污染,110.0,343.0,82.0,139.0,22.0,67.0,1.47,33.0,2017,3,3,9,4,春,否,否,春季活跃,工作日
3,2017-03-04,2017/3/4,轻度污染,112.0,273.0,83.0,107.0,24.0,68.0,1.54,47.0,2017,3,4,9,5,春,是,否,春季活跃,休息日
4,2017-03-05,2017/3/5,优,35.0,14.0,33.0,4.0,19.0,0.38,73.0,73.0,2017,3,5,9,6,春,是,否,春季活跃,休息日
5,2017-03-06,2017/3/6,优,54.0,16.0,44.0,5.0,34.0,0.61,48.0,48.0,2017,3,6,10,0,春,否,否,春季活跃,工作日
6,2017-03-07,2017/3/7,优,12.0,6.0,24.0,2.0,12.0,0.3,70.0,70.0,2017,3,7,10,1,春,否,否,春季活跃,工作日
7,2017-03-08,2017/3/8,优,15.0,9.0,29.0,2.0,20.0,0.39,68.0,68.0,2017,3,8,10,2,春,否,否,春季活跃,工作日
8,2017-03-09,2017/3/9,优,11.0,11.0,32.0,3.0,33.0,0.45,53.0,53.0,2017,3,9,10,3,春,否,否,春季活跃,工作日
9,2017-03-10,2017/3/10,良,85.0,30.0,,10.0,59.0,0.79,,41.0,2017,3,10,10,4,春,否,否,春季活跃,工作日
10,2017-03-11,2017/3/11,良,190.0,45.0,81.0,15.0,47.0,0.83,51.0,51.0,2017,3,11,10,5,春,是,否,春季活跃,休息日
11,2017-03-12,2017/3/12,优,43.0,6.0,27.0,2.0,11.0,0.26,79.0,79.0,2017,3,12,10,6,春,是,否,春季活跃,休息日
4,2017-01-05,2017/1/5,严重污染,276.0,345.0,224.0,275.0,15.0,109.0,5.55,5.0,2017,1,5,1,3,冬,否,否,冬季低谷,工作日
12,2017-03-13,2017/3/13,优,48.0,9.0,26.0,4.0,27.0,0.4,63.0,63.0,2017,3,13,11,0,春,否,否,春季活跃,工作日
13,2017-03-14,2017/3/14,优,74.0,,44.0,6.0,,0.52,52.0,52.0,2017,3,14,11,1,春,否,否,春季活跃,工作日
14,2017-03-15,2017/3/15,良,295.0,61.0,91.0,20.0,65.0,1.13,40.0,40.0,2017,3,15,11,2,春,否,否,春季活跃,工作日
15,2017-03-16,2017/3/16,轻度污染,149.0,361.0,112.0,153.0,23.0,86.0,1.35,39.0,2017,3,16,11,3,春,否,否,春季活跃,工作日
16,2017-03-17,2017/3/17,中度污染,159.0,354.0,120.0,159.0,18.0,68.0,1.07,46.0,2017,3,17,11,4,春,否,否,春季活跃,工作日
17,2017-03-18,2017/3/18,中度污染,184.0,359.0,140.0,,14.0,65.0,1.13,67.0,2017,3,18,11,5,春,是,否,春季活跃,休息日
18,2017-03-19,2017/3/19,严重污染,272.0,366.0,221.0,249.0,31.0,78.0,2.02,79.0,2017,3,19,11,6,春,是,否,春季活跃,休息日
19,2017-03-20,2017/3/20,中度污染,184.0,363.0,142.0,146.0,18.0,72.0,1.34,39.0,2017,3,20,12,0,春,否,否,春季活跃,工作日
20,2017-03-21,2017/3/21,轻度污染,113.0,322.0,85.0,91.0,5.0,45.0,,50.0,2017,3,21,12,1,春,否,否,春季活跃,工作日
21,2017-03-22,2017/3/22,中度污染,173.0,359.0,131.0,170.0,17.0,77.0,1.21,39.0,2017,3,22,12,2,春,否,否,春季活跃,工作日
22,2017-03-23,2017/3/23,中度污染,163.0,355.0,124.0,,6.0,57.0,1.63,38.0,2017,3,23,12,3,春,否,否,春季活跃,工作日
23,2017-03-24,2017/3/24,良,263.0,59.0,0.0,2.0,46.0,0.96,34.0,34.0,2017,3,24,12,4,春,否,否,春季活跃,工作日
24,2017-03-25,2017/3/25,良,127.0,34.0,25.0,3.0,34.0,0.8,47.0,47.0,2017,3,25,12,5,春,是,否,春季活跃,休息日
25,2017-03-26,2017/3/26,优,14.0,11.0,,2.0,,0.33,70.0,70.0,2017,3,26,12,6,春,是,否,春季活跃,休息日
26,2017-03-27,2017/3/27,优,6.0,15.0,32.0,2.0,30.0,0.4,61.0,61.0,2017,3,27,13,0,春,否,否,春季活跃,工作日
27,2017-03-28,2017/3/28,良,220.0,56.0,90.0,8.0,50.0,,52.0,52.0,2017,3,28,13,1,春,否,否,春季活跃,工作日
28,2017-03-29,2017/3/29,轻度污染,145.0,353.0,110.0,133.0,9.0,61.0,0.86,55.0,2017,3,29,13,2,春,否,否,春季活跃,工作日
29,2017-03-30,2017/3/30,轻度污染,119.0,311.0,88.0,131.0,14.0,54.0,1.14,46.0,2017,3,30,13,3,春,否,否,春季活跃,工作日
30,2017-03-31,2017/3/31,优,86.0,18.0,47.0,3.0,30.0,0.4,66.0,66.0,2017,3,31,13,4,春,否,否,春季活跃,工作日
0,2017-04-01,2017/4/1,良,119.0,28.0,73.0,5.0,,0.58,48.0,48.0,2017,4,1,13,5,春,是,否,春季活跃,休息日
1,2017-04-02,2017/4/2,良,262.0,66.0,110.0,12.0,70.0,1.07,48.0,48.0,2017,4,2,13,6,春,是,否,春季活跃,休息日
2,2017-04-03,2017/4/3,中度污染,159.0,360.0,,168.0,19.0,76.0,1.26,74.0,2017,4,3,14,0,春,否,是,春季活跃,工作日
3,2017-04-04,2017/4/4,中度污染,175.0,363.0,134.0,155.0,20.0,63.0,1.14,62.0,2017,4,4,14,1,春,否,是,春季活跃,工作日
4,2017-04-05,2017/4/5,良,224.0,61.0,60.0,,27.0,0.61,95.0,95.0,2017,4,5,14,2,春,否,是,春季活跃,工作日
5,2017-04-06,2017/4/6,轻度污染,126.0,324.0,95.0,91.0,5.0,44.0,0.9,74.0,2017,4,6,14,3,春,否,否,春季活跃,工作日
6,2017-04-07,2017/4/7,轻度污染,103.0,280.0,76.0,120.0,7.0,43.0,0.79,60.0,2017,4,7,14,4,春,否,否,春季活跃,工作日
7,2017-04-08,2017/4/8,轻度污染,,328.0,76.0,138.0,6.0,59.0,0.89,30.0,2017,4,8,14,5,春,是,否,春季活跃,休息日
8,2017-04-09,2017/4/9,良,349.0,63.0,100.0,6.0,45.0,0.88,46.0,46.0,2017,4,9,14,6,春,是,否,春季活跃,休息日
9,2017-04-10,2017/4/10,良,339.0,64.0,117.0,8.0,57.0,0.74,42.0,42.0,2017,4,10,15,0,春,否,否,春季活跃,工作日
10,2017-04-11,2017/4/11,良,204.0,27.0,66.0,3.0,,0.38,62.0,62.0,2017,4,11,15,1,春,否,否,春季活跃,工作日
11,2017-04-12,2017/4/12,良,199.0,25.0,84.0,4.0,49.0,0.54,46.0,46.0,2017,4,12,15,2,春,否,否,春季活跃,工作日
12,2017-04-13,2017/4/13,良,307.0,52.0,,13.0,60.0,,49.0,49.0,2017,4,13,15,3,春,否,否,春季活跃,工作日
13,2017-04-14,2017/4/14,良,317.0,58.0,131.0,5.0,65.0,0.85,45.0,45.0,2017,4,14,15,4,春,否,否,春季活跃,工作日
14,2017-04-15,2017/4/15,良,115.0,34.0,86.0,4.0,48.0,0.48,63.0,63.0,2017,4,15,15,5,春,是,否,春季活跃,休息日
15,2017-04-16,2017/4/16,轻度污染,134.0,350.0,90.0,171.0,15.0,68.0,0.95,56.0,2017,4,16,15,6,春,是,否,春季活跃,休息日
16,2017-04-17,2017/4/17,中度污染,180.0,354.0,125.0,215.0,7.0,54.0,0.95,57.0,2017,4,17,16,0,春,否,否,春季活跃,工作日
17,2017-04-18,2017/4/18,良,145.0,,78.0,2.0,17.0,0.24,,81.0,2017,4,18,16,1,春,否,否,春季活跃,工作日
18,2017-04-19,2017/4/19,良,230.0,41.0,,6.0,67.0,0.8,20.0,20.0,2017,4,19,16,2,春,否,否,春季活跃,工作日
19,2017-04-20,2017/4/20,良,227.0,,92.0,2.0,43.0,0.69,46.0,46.0,2017,4,20,16,3,春,否,否,春季活跃,工作日
20,2017-04-21,2017/4/21,良,141.0,16.0,56.0,2.0,20.0,0.29,74.0,74.0,2017,4,21,16,4,春,否,否,春季活跃,工作日
21,2017-04-22,2017/4/22,良,325.0,41.0,118.0,7.0,41.0,0.46,68.0,68.0,2017,4,22,16,5,春,是,否,春季活跃,休息日
22,2017-04-23,2017/4/23,良,116.0,22.0,71.0,3.0,21.0,0.37,86.0,86.0,2017,4,23,16,6,春,是,否,春季活跃,休息日
23,2017-04-23,2017/4/23,良,116.0,22.0,71.0,3.0,21.0,0.37,86.0,86.0,2017,4,23,16,6,春,是,否,春季活跃,休息日
24,2017-04-24,2017/4/24,良,168.0,33.0,82.0,4.0,30.0,0.5,73.0,73.0,2017,4,24,17,0,春,否,否,春季活跃,工作日
25,2017-04-25,2017/4/25,优,40.0,11.0,37.0,2.0,22.0,0.27,59.0,59.0,2017,4,25,17,1,春,否,否,春季活跃,工作日
26,2017-04-26,2017/4/26,优,88.0,13.0,38.0,2.0,27.0,0.33,64.0,64.0,2017,4,26,17,2,春,否,否,春季活跃,工作日
27,2017-04-27,2017/4/27,优,87.0,14.0,46.0,2.0,32.0,0.31,62.0,62.0,2017,4,27,17,3,春,否,否,春季活跃,工作日
28,2017-04-28,2017/4/28,良,110.0,21.0,65.0,2.0,36.0,0.39,67.0,67.0,2017,4,28,17,4,春,否,否,春季活跃,工作日
29,2017-04-29,2017/4/29,良,166.0,38.0,99.0,2.0,39.0,0.39,69.0,69.0,2017,4,29,17,5,春,是,否,春季活跃,休息日
30,2017-04-30,2017/4/30,轻度污染,106.0,312.0,48.0,159.0,4.0,42.0,0.48,77.0,2017,4,30,17,6,春,是,否,春季活跃,休息日
0,2017-05-01,2017/5/1,良,222.0,40.0,112.0,7.0,44.0,0.7,71.0,71.0,2017,5,1,18,0,春,否,是,春季活跃,工作日
1,2017-05-02,2017/5/2,良,293.0,57.0,,9.0,50.0,0.95,105.0,105.0,2017,5,2,18,1,春,否,否,春季活跃,工作日
2,2017-05-03,2017/5/3,轻度污染,104.0,324.0,72.0,121.0,8.0,47.0,0.85,79.0,2017,5,3,18,2,春,否,否,春季活跃,工作日
3,2017-05-04,2017/5/4,严重污染,420.0,354.0,336.0,772.0,2.0,21.0,0.29,79.0,2017,5,4,18,3,春,否,否,春季活跃,工作日
4,2017-05-05,2017/5/5,严重污染,256.0,312.0,185.0,438.0,3.0,21.0,0.31,64.0,2017,5,5,18,4,春,否,否,春季活跃,工作日
5,2017-05-06,2017/5/6,良,128.0,,90.0,2.0,32.0,0.36,68.0,68.0,2017,5,6,18,5,春,是,否,春季活跃,休息日
6,2017-05-07,2017/5/7,良,113.0,26.0,75.0,3.0,40.0,0.4,78.0,78.0,2017,5,7,18,6,春,是,否,春季活跃,休息日
7,2017-05-08,2017/5/8,良,255.0,52.0,109.0,6.0,52.0,0.56,96.0,96.0,2017,5,8,19,0,春,否,否,春季活跃,工作日
8,2017-05-09,2017/5/9,良,280.0,45.0,97.0,6.0,25.0,0.51,107.0,107.0,2017,5,9,19,1,春,否,否,春季活跃,工作日
9,2017-05-10,2017/5/10,良,135.0,37.0,68.0,3.0,,0.46,87.0,87.0,2017,5,10,19,2,春,否,否,春季活跃,工作日
10,2017-05-11,2017/5/11,良,271.0,28.0,130.0,3.0,30.0,0.32,69.0,69.0,2017,5,11,19,3,春,否,否,春季活跃,工作日
11,2017-05-12,2017/5/12,轻度污染,109.0,303.0,42.0,166.0,4.0,23.0,0.39,90.0,2017,5,12,19,4,春,否,否,春季活跃,工作日
12,2017-05-13,2017/5/13,良,142.0,18.0,71.0,2.0,15.0,0.25,72.0,72.0,2017,5,13,19,5,春,是,否,春季活跃,休息日
13,2017-05-14,2017/5/14,优级,52.0,11.0,37.0,2.0,15.0,0.28,87.0,87.0,2017,5,14,19,6,春,是,否,春季活跃,休息日
14,2017-05-15,2017/5/15,良,183.0,20.0,58.0,5.0,,0.52,94.0,94.0,2017,5,15,20,0,春,否,否,春季活跃,工作日
15,2017-05-16,2017/5/16,良,87.0,342.0,40.0,88.0,8.0,28.0,0.59,126.0,2017,5,16,20,1,春,否,否,春季活跃,工作日
16,2017-05-17,2017/5/17,轻度污染,118.0,358.0,58.0,111.0,8.0,34.0,0.68,151.0,2017,5,17,20,2,春,否,否,春季活跃,工作日
17,2017-05-18,2017/5/18,轻度污染,144.0,356.0,79.0,143.0,9.0,50.0,0.82,169.0,2017,5,18,20,3,春,否,否,春季活跃,工作日
18,2017-05-19,2017/5/19,轻度污染,145.0,351.0,83.0,152.0,8.0,39.0,0.79,153.0,2017,5,19,20,4,春,否,否,春季活跃,工作日
19,2017-05-20,2017/5/20,轻度污染,115.0,331.0,54.0,124.0,8.0,37.0,0.7,131.0,2017,5,20,20,5,春,是,否,春季活跃,休息日
20,2017-05-20,2017/5/20,轻度污染,115.0,331.0,54.0,124.0,8.0,37.0,0.7,131.0,2017,5,20,20,5,春,是,否,春季活跃,休息日
21,2017-05-21,2017/5/21,良,284.0,56.0,98.0,14.0,,0.94,123.0,123.0,2017,5,21,20,6,春,是,否,春季活跃,休息日
22,2017-05-22,2017/5/22,良,241.0,42.0,60.0,7.0,33.0,1.15,40.0,40.0,2017,5,22,21,0,春,否,否,春季活跃,工作日
23,2017-05-23,2017/5/23,优,157.0,17.0,37.0,,28.0,0.36,96.0,96.0,2017,5,23,21,1,春,否,否,春季活跃,工作日
24,2017-05-24,2017/5/24,良,176.0,16.0,51.0,2.0,41.0,0.38,77.0,77.0,2017,5,24,21,2,春,否,否,春季活跃,工作日
25,2017-05-25,2017/5/25,良,232.0,20.0,82.0,5.0,37.0,0.53,90.0,90.0,2017,5,25,21,3,春,否,否,春季活跃,工作日
26,2017-05-26,2017/5/26,良,289.0,43.0,94.0,8.0,48.0,0.58,110.0,110.0,2017,5,26,21,4,春,否,否,春季活跃,工作日
27,2017-05-27,2017/5/27,轻度污染,110.0,312.0,65.0,116.0,19.0,45.0,1.29,154.0,2017,5,27,21,5,春,是,否,春季活跃,休息日
28,2017-05-28,2017/5/28,轻度污染,150.0,359.0,87.0,137.0,15.0,34.0,1.36,167.0,2017,5,28,21,6,春,是,是,春季活跃,休息日
29,2017-05-29,2017/5/29,良,146.0,28.0,88.0,7.0,24.0,0.66,,92.0,2017,5,29,22,0,春,否,是,春季活跃,工作日
30,2017-05-30,2017/5/30,良,169.0,39.0,68.0,2.0,36.0,0.64,91.0,91.0,2017,5,30,22,1,春,否,是,春季活跃,工作日
31,2017-05-31,2017/5/31,轻度污染,117.0,331.0,65.0,105.0,3.0,43.0,0.75,115.0,2017,5,31,22,2,春,否,否,春季活跃,工作日
0,2017-06-01,2017/6/1,良,213.0,22.0,56.0,3.0,27.0,0.6,113.0,113.0,2017,6,1,22,3,夏,否,否,夏季高峰,工作日
1,2017-06-02,2017/6/2,良,175.0,22.0,65.0,11.0,36.0,0.94,53.0,53.0,2017,6,2,22,4,夏,否,否,夏季高峰,工作日
2,2017-06-03,2017/6/3,良,194.0,28.0,55.0,4.0,34.0,0.69,75.0,75.0,2017,6,3,22,5,夏,是,否,夏季高峰,休息日
3,2017-06-04,2017/6/4,良,354.0,45.0,,9.0,47.0,0.63,111.0,111.0,2017,6,4,22,6,夏,是,否,夏季高峰,休息日
4,2017-06-05,2017/6/5,轻度污染,108.0,361.0,63.0,113.0,15.0,59.0,0.91,119.0,2017,6,5,23,0,夏,否,否,夏季高峰,工作日
5,2017-06-06,2017/6/6,良,247.0,35.0,46.0,2.0,23.0,0.5,81.0,81.0,2017,6,6,23,1,夏,否,否,夏季高峰,工作日
6,2017-06-07,2017/6/7,良,302.0,45.0,53.0,2.0,29.0,0.6,85.0,85.0,2017,6,7,23,2,夏,否,否,夏季高峰,工作日
7,2017-06-08,2017/6/8,良,144.0,23.0,53.0,2.0,51.0,0.55,63.0,63.0,2017,6,8,23,3,夏,否,否,夏季高峰,工作日
8,2017-06-09,2017/6/9,良,289.0,28.0,88.0,4.0,50.0,0.59,103.0,103.0,2017,6,9,23,4,夏,否,否,夏季高峰,工作日
9,2017-06-10,2017/6/10,良,263.0,20.0,70.0,10.0,,0.77,83.0,83.0,2017,6,10,23,5,夏,是,否,夏季高峰,休息日
10,2017-06-11,2017/6/11,良,298.0,31.0,83.0,6.0,46.0,0.64,,88.0,2017,6,11,23,6,夏,是,否,夏季高峰,休息日
11,2017-06-12,2017/6/12,良,283.0,33.0,78.0,15.0,43.0,1.08,92.0,92.0,2017,6,12,24,0,夏,否,否,夏季高峰,工作日
12,2017-06-13,2017/6/13,良,255.0,39.0,62.0,,41.0,0.81,98.0,98.0,2017,6,13,24,1,夏,否,否,夏季高峰,工作日
13,2017-06-14,2017/6/14,良,276.0,36.0,59.0,2.0,45.0,0.72,106.0,106.0,2017,6,14,24,2,夏,否,否,夏季高峰,工作日
14,2017-06-15,2017/6/15,轻度污染,104.0,295.0,37.0,89.0,3.0,44.0,0.59,150.0,2017,6,15,24,3,夏,否,否,夏季高峰,工作日
15,2017-06-16,2017/6/16,轻度污染,,301.0,57.0,124.0,5.0,39.0,0.62,155.0,2017,6,16,24,4,夏,否,否,夏季高峰,工作日
16,2017-06-17,2017/6/17,轻度污染,134.0,341.0,79.0,155.0,10.0,36.0,0.87,177.0,2017,6,17,24,5,夏,是,否,夏季高峰,休息日
17,2017-06-18,2017/6/18,轻度污染,130.0,349.0,71.0,128.0,10.0,30.0,0.84,166.0,2017,6,18,24,6,夏,是,否,夏季高峰,休息日
18,2017-06-19,2017/6/19,良,317.0,35.0,58.0,2.0,25.0,0.57,146.0,146.0,2017,6,19,25,0,夏,否,否,夏季高峰,工作日
19,2017-06-20,2017/6/20,良,327.0,31.0,64.0,3.0,24.0,0.61,157.0,157.0,2017,6,20,25,1,夏,否,否,夏季高峰,工作日
20,2017-06-21,2017/6/21,轻度污染,101.0,332.0,,83.0,7.0,28.0,0.86,151.0,2017,6,21,25,2,夏,否,否,夏季高峰,工作日
21,2017-06-22,2017/6/22,良,225.0,,27.0,1.0,23.0,0.77,94.0,94.0,2017,6,22,25,3,夏,否,否,夏季高峰,工作日
22,2017-06-23,2017/6/23,优,132.0,18.0,11.0,2.0,18.0,0.66,85.0,85.0,2017,6,23,25,4,夏,否,否,夏季高峰,工作日
