Wave,30,3
400.26544,36.43,2.53
402.396103,36.43,2.53
404.526764,36.43,2.53
406.657426,36.14,1.43
408.788087,36.14,1.43
410.918749,36.14,1.43
413.04941,36.14,1.43
415.180072,35.03,2.12
417.310733,35.03,2.12
419.441394,35.03,2.12
421.572056,35.03,2.12
423.702717,35.03,2.12
425.833379,34.45,2.11
427.96404,34.45,2.11
430.094702,34.45,2.11
432.225363,34.45,2.11
434.356025,34.45,2.11
436.486686,33.8,1.04
438.617348,33.8,1.04
440.748009,33.8,1.04
442.87867,33.8,1.04
445.009332,33.29,0.92
447.139993,33.29,0.92
449.270655,33.29,0.92
451.401316,33.29,0.92
453.531978,33.29,0.92
455.662639,33.23,1.6
457.793301,33.23,1.6
459.923962,33.23,1.6
462.054624,33.23,1.6
464.185285,33.23,1.6
466.315946,33.08,2.05
468.446608,33.08,2.05
470.577269,33.08,2.05
472.707931,33.08,2.05
474.838592,33.08,2.05
476.969254,32.64,2.24
479.099915,32.64,2.24
481.230577,32.64,2.24
483.361238,32.64,2.24
485.491899,32.56,2.45
487.622561,32.56,2.45
489.753222,32.56,2.45
491.883884,32.56,2.45
494.014545,32.56,2.45
496.145207,32.21,2.54
498.275868,32.21,2.54
500.40653,32.21,2.54
502.537191,32.21,2.54
504.667853,32.21,2.54
506.798514,32.07,2.53
508.929175,32.07,2.53
511.059837,32.07,2.53
513.190498,32.07,2.53
515.32116,31.71,2.65
517.451821,31.71,2.65
519.582483,31.71,2.65
521.713144,31.71,2.65
523.843806,31.71,2.65
525.974467,31.49,2.71
528.105129,31.49,2.71
530.23579,31.49,2.71
532.366451,31.49,2.71
534.497113,31.49,2.71
536.627774,31.33,2.69
538.758436,31.33,2.69
540.889097,31.33,2.69
543.019759,31.33,2.69
545.15042,31.2,2.81
547.281082,31.2,2.81
549.411743,31.2,2.81
551.542405,31.2,2.81
553.673066,31.2,2.81
555.803727,31.1,2.9
557.934389,31.1,2.9
560.06505,31.1,2.9
562.195712,31.1,2.9
564.326373,31.1,2.9
566.457035,31.03,3.06
568.587696,31.03,3.06
570.718358,31.03,3.06
572.849019,31.03,3.06
574.979681,31.03,3.06
577.110342,31.02,3.25
579.241003,31.02,3.25
581.371665,31.02,3.25
583.502326,31.02,3.25
585.632988,30.96,3.42
587.763649,30.96,3.42
589.894311,30.96,3.42
592.024972,30.96,3.42
594.155634,30.96,3.42
596.286295,30.91,3.5
598.416956,30.91,3.5
600.547618,30.91,3.5
602.678279,30.91,3.5
604.808941,30.91,3.5
606.939602,30.82,3.54
609.070264,30.82,3.54
611.200925,30.82,3.54
613.331587,30.82,3.54
615.462248,30.78,3.65
617.59291,30.78,3.65
619.723571,30.78,3.65
621.854232,30.78,3.65
623.984894,30.78,3.65
626.115555,30.74,3.74
628.246217,30.74,3.74
630.376878,30.74,3.74
632.50754,30.74,3.74
634.638201,30.74,3.74
636.768863,30.62,3.85
638.899524,30.62,3.85
641.030186,30.62,3.85
643.160847,30.62,3.85
645.291508,30.53,3.97
647.42217,30.53,3.97
649.552831,30.53,3.97
651.683493,30.53,3.97
653.814154,30.53,3.97
655.944816,30.54,3.94
658.075477,30.54,3.94
660.206139,30.54,3.94
662.3368,30.54,3.94
664.467462,30.54,3.94
666.598123,30.52,3.98
668.728784,30.52,3.98
670.859446,30.52,3.98
672.990107,30.52,3.98
675.120769,30.47,4.03
677.25143,30.47,4.03
679.382092,30.47,4.03
681.512753,30.47,4.03
683.643415,30.47,4.03
685.774076,30.51,4.09
687.904737,30.51,4.09
690.035399,30.51,4.09
692.16606,30.51,4.09
694.296722,30.51,4.09
696.427383,30.49,4.18
698.558045,30.49,4.18
700.688706,30.49,4.18
702.819368,30.49,4.18
704.950029,30.49,4.18
707.080691,30.4,4.15
709.211352,30.4,4.15
711.342013,30.4,4.15
713.472675,30.4,4.15
715.603336,30.24,4.29
717.733998,30.24,4.29
719.864659,30.24,4.29
721.995321,30.24,4.29
724.125982,30.24,4.29
726.256644,30.14,4.24
728.387305,30.14,4.24
730.517967,30.14,4.24
732.648628,30.14,4.24
734.779289,30.14,4.24
736.909951,30.1,4.23
739.040612,30.1,4.23
741.171274,30.1,4.23
743.301935,30.1,4.23
745.432597,30.03,4.2
747.563258,30.03,4.2
749.69392,30.03,4.2
751.824581,30.03,4.2
753.955243,30.03,4.2
756.085904,29.95,4.34
758.216565,29.95,4.34
760.347227,29.95,4.34
762.477888,29.95,4.34
764.60855,29.95,4.34
766.739211,29.82,4.21
768.869873,29.82,4.21
771.000534,29.82,4.21
773.131196,29.82,4.21
775.261857,29.53,4.21
777.392519,29.53,4.21
779.52318,29.53,4.21
781.653841,29.53,4.21
783.784503,29.53,4.17
785.915164,29.47,4.17
788.045826,29.47,4.17
790.176487,29.47,4.17
792.307149,29.47,4.17
794.43781,29.47,4.17
796.568472,29.46,4.34
798.699133,29.46,4.34
800.829794,29.46,4.34
802.960456,29.46,4.34
805.091117,29.07,4.23
807.221779,29.07,4.23
809.35244,29.07,4.23
811.483102,29.07,4.23
813.613763,29.07,4.23
815.744425,29.12,4.25
817.875086,29.12,4.25
820.005748,29.12,4.25
822.136409,29.12,4.25
824.26707,29.12,4.25
826.397732,28.68,4.23
828.528393,28.68,4.23
830.659055,28.68,4.23
832.789716,28.68,4.23
834.920378,28.68,4.23
837.051039,28.3,4.15
839.181701,28.3,4.15
841.312362,28.3,4.15
843.443024,28.3,4.15
845.573685,28.1,3.85
847.704346,28.1,3.85
849.835008,28.1,3.85
851.965669,28.1,3.85
854.096331,28.1,3.85
856.226992,27.75,3.72
858.357654,27.75,3.72
860.488315,27.75,3.72
862.618977,27.75,3.72
864.749638,27.75,3.72
866.8803,27.33,3.9
869.010961,27.33,3.9
871.141622,27.33,3.9
873.272284,27.33,3.9
875.402945,27.23,3.71
877.533607,27.23,3.71
879.664268,27.23,3.71
881.79493,27.23,3.71
883.925591,27.23,3.71
886.056253,26.94,3.88
888.186914,26.94,3.88
890.317576,26.94,3.88
892.448237,26.94,3.88
894.578898,26.94,3.88
896.70956,26.64,3.74
898.840221,26.64,3.74
900.970883,26.64,3.74
903.101544,26.64,3.74
905.232206,26.33,3.76
907.362867,26.33,3.76
909.493529,26.33,3.76
911.62419,26.33,3.76
913.754851,26.33,3.76
915.885513,26.13,3.45
918.016174,26.13,3.45
920.146836,26.13,3.45
922.277497,26.13,3.45
924.408159,26.13,3.45
926.53882,25.62,3.63
928.669482,25.62,3.63
930.800143,25.62,3.63
932.930805,25.62,3.63
935.061466,25.46,3.78
937.192127,25.46,3.78
939.322789,25.46,3.78
941.45345,25.46,3.78
943.584112,25.46,3.78
945.714773,25.43,3.76
947.845435,25.43,3.76
949.976096,25.43,3.76
952.106758,25.43,3.76
954.237419,25.43,3.76
956.368081,25.42,3.58
958.498742,25.42,3.58
960.629403,25.42,3.58
962.760065,25.42,3.58
964.890726,25.42,3.58
967.021388,24.8,3.01
969.152049,24.8,3.01
971.282711,24.8,3.01
973.413372,24.8,3.01
975.544034,24.76,3.91
977.674695,24.76,3.91
979.805357,24.76,3.91
981.936018,24.76,3.91
984.066679,24.76,3.91
986.197341,24.55,3.54
988.328002,24.55,3.54
990.458664,24.55,3.54
